url_length,dot_count,has_https,has_suspicious_keywords,has_ip_address,at_symbol_count,hyphen_count,double_slash_count,subdomain_depth,path_depth,has_suspicious_tld,has_redirect,special_char_ratio,brand_impersonation,domain_age_days,domain_expiry_days,has_valid_ssl,label
54,3,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
56,1,0,0,0,0,3,0,0,2,0,0,0.0714,0,-1,-1,-1,0
81,2,0,0,0,0,0,0,0,7,0,0,0.0,0,-1,-1,-1,1
42,1,0,0,0,0,2,0,0,3,0,0,0.0,0,-1,-1,-1,0
31,1,0,0,0,0,1,0,0,3,0,0,0.0,0,-1,-1,-1,0
36,2,0,0,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,1
24,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
80,6,0,1,0,0,0,0,0,2,0,0,0.025,0,-1,-1,-1,1
52,1,0,0,0,0,1,0,0,3,0,0,0.0,1,-1,-1,-1,0
48,3,0,1,0,0,0,0,0,4,0,0,0.0,1,-1,-1,-1,1
25,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
39,1,0,0,0,0,3,0,0,3,0,0,0.0,0,-1,-1,-1,0
58,1,0,0,0,0,1,0,0,4,0,0,0.0,0,-1,-1,-1,0
65,1,0,1,0,0,2,0,0,5,0,0,0.0,1,-1,-1,-1,1
21,4,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
78,2,0,0,0,0,0,0,0,2,0,0,0.0641,0,-1,-1,-1,1
29,3,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
19,1,0,0,0,0,0,0,0,1,0,0,0.0526,0,-1,-1,-1,1
83,2,0,0,0,0,7,0,0,1,0,0,0.0,0,-1,-1,-1,0
18,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
55,2,0,0,0,0,5,0,0,5,0,0,0.0,0,-1,-1,-1,0
208,2,0,1,0,0,1,0,0,4,0,0,0.0433,0,-1,-1,-1,1
36,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
33,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
56,2,0,0,0,0,0,0,0,3,0,0,0.0179,0,-1,-1,-1,1
80,2,0,0,0,0,2,0,0,9,0,0,0.025,0,-1,-1,-1,0
68,2,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,1
46,3,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,1
45,2,0,0,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,1
43,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
39,1,0,0,0,0,0,0,0,2,0,0,0.0256,0,-1,-1,-1,0
74,1,0,0,0,0,6,0,0,3,0,0,0.0,0,-1,-1,-1,0
34,1,0,0,0,0,3,0,0,1,0,0,0.0,0,-1,-1,-1,0
39,4,0,0,0,0,0,0,0,1,0,0,0.0513,0,-1,-1,-1,1
11,1,0,0,0,0,1,0,0,0,0,0,0.0,0,-1,-1,-1,1
39,3,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,0
19,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
46,2,0,0,0,0,0,0,0,3,0,0,0.0217,0,-1,-1,-1,1
44,2,0,0,0,0,3,0,0,1,0,0,0.0,0,-1,-1,-1,0
60,1,0,0,0,0,1,0,0,3,0,0,0.0,0,-1,-1,-1,1
133,2,0,0,0,0,1,0,0,6,0,0,0.0827,0,-1,-1,-1,1
52,2,0,0,0,0,0,0,0,4,0,0,0.0385,0,-1,-1,-1,1
76,2,0,0,0,0,0,0,0,5,0,0,0.0,0,-1,-1,-1,1
119,2,0,0,0,0,0,0,0,6,0,0,0.0924,0,-1,-1,-1,1
541,3,0,0,0,0,1,0,0,4,0,0,0.0055,0,-1,-1,-1,1
73,1,0,0,0,0,9,0,0,3,0,0,0.0,0,-1,-1,-1,0
42,2,0,0,0,0,1,0,0,6,0,0,0.0,0,-1,-1,-1,1
12,1,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,-1,1
51,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
18,2,0,0,0,0,1,0,0,1,0,0,0.0,0,-1,-1,-1,1
282,7,0,1,0,0,1,0,0,11,0,0,0.0248,0,-1,-1,-1,1
54,2,0,0,0,0,0,0,0,4,0,0,0.0185,0,-1,-1,-1,1
42,2,0,0,0,0,0,0,0,1,0,0,0.0476,0,-1,-1,-1,0
62,3,0,0,0,0,1,0,0,2,0,0,0.0484,0,-1,-1,-1,0
14,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
32,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
21,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
34,2,0,0,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,0
82,3,0,0,0,0,4,0,0,4,0,0,0.0,0,-1,-1,-1,0
24,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
46,1,0,0,0,0,2,0,0,2,0,0,0.0,0,-1,-1,-1,0
16,1,0,0,0,0,1,0,0,1,0,0,0.0,0,-1,-1,-1,1
32,1,0,0,0,0,1,0,0,3,0,0,0.0,0,-1,-1,-1,0
46,4,0,0,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,1
38,2,0,0,0,0,0,0,0,2,0,0,0.0263,0,-1,-1,-1,1
73,1,0,0,0,0,7,0,0,1,0,0,0.0,0,-1,-1,-1,0
44,1,0,0,0,0,0,0,0,2,0,0,0.0227,0,-1,-1,-1,0
67,1,0,0,0,0,4,0,0,2,0,0,0.0,0,-1,-1,-1,0
11,1,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,-1,1
66,1,0,0,0,0,0,0,0,3,0,0,0.0,1,-1,-1,-1,1
20,3,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
40,1,0,0,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,0
35,3,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
86,1,0,0,0,0,0,0,0,5,0,0,0.1047,0,-1,-1,-1,0
45,1,0,0,0,0,0,0,0,3,0,0,0.0444,0,-1,-1,-1,0
89,2,0,0,0,0,6,0,0,5,0,0,0.0,0,-1,-1,-1,0
16,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
30,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
27,1,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,0
25,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
118,3,0,0,0,0,1,0,0,4,0,0,0.0678,0,-1,-1,-1,1
17,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
51,2,0,0,0,0,1,0,0,5,0,0,0.0,0,-1,-1,-1,1
247,20,0,0,0,0,5,0,0,6,0,0,0.004,1,-1,-1,-1,1
81,1,0,0,0,0,8,0,0,3,0,0,0.0,0,-1,-1,-1,0
40,1,0,0,0,0,1,0,0,3,0,0,0.0,1,-1,-1,-1,1
71,3,0,1,0,0,1,0,0,3,0,0,0.0,0,-1,-1,-1,1
49,2,0,0,0,0,4,0,0,3,0,0,0.0,0,-1,-1,-1,0
31,3,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
24,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
59,2,0,0,0,0,1,0,0,4,0,0,0.0,0,-1,-1,-1,0
44,2,0,0,0,0,1,0,0,3,0,0,0.0,0,-1,-1,-1,1
32,3,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
121,2,0,0,0,0,14,0,0,4,0,0,0.0,0,-1,-1,-1,0
13,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
23,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
27,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
29,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
77,1,0,0,0,0,1,0,0,2,0,0,0.0649,0,-1,-1,-1,1
14,3,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,-1,1
40,1,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,1
40,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
46,2,0,0,0,0,0,0,0,4,0,0,0.0217,0,-1,-1,-1,0
90,1,0,0,0,0,0,0,0,2,0,0,0.0667,0,-1,-1,-1,0
21,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
29,2,0,0,0,0,0,0,0,2,0,0,0.0345,0,-1,-1,-1,0
77,1,0,0,0,0,6,0,0,4,0,0,0.0,0,-1,-1,-1,0
48,3,0,0,0,0,0,0,0,5,0,0,0.0,0,-1,-1,-1,0
20,1,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,-1,1
19,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
119,1,0,1,0,0,12,0,0,2,0,0,0.0084,0,-1,-1,-1,0
88,2,0,0,0,0,2,0,0,7,0,0,0.0,0,-1,-1,-1,1
22,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
30,1,0,0,0,0,0,0,0,1,0,0,0.0333,0,-1,-1,-1,0
47,1,0,1,0,0,4,0,0,1,0,0,0.0,0,-1,-1,-1,1
32,2,0,0,0,0,2,0,0,1,0,0,0.0,0,-1,-1,-1,0
28,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
68,1,0,0,0,0,4,0,0,2,0,0,0.0,0,-1,-1,-1,0
25,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
113,4,0,0,0,0,0,0,0,2,0,0,0.0531,0,-1,-1,-1,1
53,1,0,0,0,0,1,0,0,1,0,0,0.0377,0,-1,-1,-1,1
30,1,0,0,0,0,1,0,0,1,0,0,0.0667,0,-1,-1,-1,1
26,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
30,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
23,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
63,2,0,0,0,0,6,0,0,3,0,0,0.0,0,-1,-1,-1,0
