url,label
comyaowen/2017-03/20/content_2295189.htm,0
computer-zone-pr.com/templates/beez5/image/irs.tax/start.htm,1
fc2.com/e61h18,1
agwa.cl/img/admin/invoice/adeb/adobe.php,1
audiocomalbany.com.au/col128.mail/Verification%20Set-up_files/EN-US1.html,1
bethematch.org/about-us/careers/working-with-us,0
mysticalkailashjourney.com/google%20duc..html,1
inprnt.com/gallery/sophieeves,0
healthiergeneration.org/about_childhood_obesity/wellness_stories,0
negotiatio.eu/fuel/6675a3dd0e83e4f3797992a6de066c04,1
heilpraktikerin-edhofer.de/wp-includes/pomo/letter0net00.php,1
laola1.tv/en-int/video/neymar-id-like-to-play-in-the-premier-league-len,0
tripplite.com/products/cross-reference/cid/13,0
opuscollection.com/product.php?id=58,0
raphaelalvespilates.com.br/wp-content/plugins/adminshell/Google/purchase/file/Drive/file_doc.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID&amp;userid_JeHJOXK0IDw_JOXK0IDD&amp;userid=,1
lesoir.be/voyagevoyage,0
dentalretainer.co.uk/media/css_secure/pending.html,1
facebook.com/pages/Kevin-OLeary/116203798426791,0
tvduck.com/Lewis-Black's-Root-of-All-Evil.html,0
afina-mos.ru/component/banners/click/10.html,0
geoserver.org/2017/03/09/rest-api-code-sprint-prep,0
bhejacry.com/wp-includes/js/jcrop/gucci2014/gdocs/processing.html?ip=146.112.225.23,1
62.76.190.163/injectgate,1
memphis.edu/rsp/research_resources.php,0
cndoubleegret.com/admin/secure/cmd-login=d9ec18c784d2eed083bcb2ea4f061a4b,1
camaroonsf1.com/f1-podcast-retiro-nico-rosberg-analisis-e-implicaciones,0
aseunab.com/481f1baae3142db0a53b5cf6c7d57160,1
dxs518.cn/html/fllw,0
allianz.com/en/investor_relations/results-reports/key-figures,0
pnj.com/privacy/#adchoices,0
cantegrilfase2.com.br/validacao/test/upgradeOnusaa,1
coarq.net/files/images_hotel2010/alibaba/index.php,1
xomesrlqcxo.pw/information.cgi,1
feriadebuga.com/administrator/nm/gdoc/new.php?cmd=login_submit&amp;id=cea664d17dc01197c7398e666e4b3bc6cea664d17dc01197c7398e666e4b3bc6&amp;session=cea664d17dc01197c7398e666e4b3bc6cea664d17dc01197c7398e666e4b3bc6,1
gw.com.cn/tzzgx/company-announcement.php,0
bisignsusa.com/cube/Law,1
kay.com/en/kaystore/beads-101517--1/1015170000+1015170000+4294966458/101492/231240038/0/New/0/101492.101517,0
novarubalka.com/media/kunena/order/EXCEL/excel.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID&userid=,1
320graphics.com/Doc,1
repsol.com/es_es/corporacion/prensa/default.aspx,0
myspace.com/436882081,0
hjggt.com/cbnlda,1
mzstatic.com/us/shop/goto/account,0
50webs.com/7h8gbiuomp,1
caller2.com/2001/october/17/today/localspo/14866.html,0
karitek-solutions.com/templates/system/Document-Shared1628/doc,1
joeshowdoc.com/js/http/webmail/webmail.htm,1
razdabar.com/Media/index.php,1
aaronmaxdesign.com/wordpress/wp-content/netvigator/update/products,1
24abcd.ru/43ftybb8,1
beaconhouse.rs/images/stories/dogadjanja/onhouse/remise2016/fichederemise.php?remise2016dimpots,1
3dprint.com/tag/metal-3d-printing,0
5.187.6.84/module/272a5ad4a1b97a2ac874d6d3e5fff01d,1
journalnow.com/sports/columnists/scott_hamilton/a-different-march-madness-for-acc-teams/article_3c267f90-d3ba-51e4-99d1-3866fe6c36c9.html,0
entab.net/wp-theme/image/img/design/DHL/tracking.php,1
buchhaltung-blog.de/tag/afa,0
balcaounicodoadvogado.com/urssaf.particuliers,1
schwablq529.com/swltpl/auth/loginFormAction.do?tplcb=%2Fswltpl%2Facctmaint%2FacctList.do,0
smaltochimica.co.id/.https/www6/rbc.com/webapp/ukv0/signin/logon.xhtml/dcb67bca7c2d0b52b1733a12a747451d/index.php?wreply=dmdjaGlyaXRhQGdvc29uaWMuY2EN,1
fortcollinsixda.org/wp-includes/pomo/newexcel.php?Email=abuse@RPTOYS.COM&amp;.rand=13vqcr8bp0gud&amp;lc=1033&amp;id=64855&amp;mkt=en-us&amp;cbcxt=mai&amp;snsc=1amp;,1
xiazaidown.com/cx/160624/6/word2003@899_2663.exe,1
katespade.com/shoes,0
uni-koblenz.de/de/transfer/bildung/kooperationen,0
mhcable.com/secure/www.paypal.com/websc-loading.php?amp;_session=2226c8cd6c8fad3539ebb40b259869da9d20e39778342e7deaccdbbc4c98b85c&amp;go=_login_success,1
uonumanet.com/.https/login.office360.com/login.srf/wsignin/owa/logon.aspx/?umail=Z2JlcnJ5QGNlbnR1cmlvbnN0b25lLmNvbQ,1
xbox.com/en-us/contact-us,0
no1roofing.com.au/old/images/strong,1
flyertalk.com/help,0
mentalhelp.net/articles/pain-management,0
diamariscreatejoy.com/update/dropbox/3ecbdcfe1f98f3f79acd3e8747c6b748,1
leprogres.fr/sortir/loire,0
creativet.co.za/wp-includes/theme-compat/ali,1
coolnewhairstyles.com/readme/owen/adminpanel/admin.php?m=login,1
otokiralama.net.tr/fruit/docs/duniya/kola.html?ICAgIDxkaXYgY2xhc3M9Im5vdHByaW50YWJsZSI%20PHRhYmxlIGNlbGxzcGFjaW5nPSIwIiBjZWxscGFkZGluZz0iMCIgd2lkdGg9IjEwMCUiPjx0cj48dGQgY2xhc3M9ImJjcm93IiBzdHlsZT0icGFkZGluZy1sZWZ0OiAwcHg7Ij48L3RkPjwvdHI,1
50webs.com/897fyDnv,1
eventful.com/events/categories#!category=family_fun_kids,0
dropboxusercontent.com/u/295811269/RECOVERY/secure.account.htm,1
spineuniverse.com/conditions/back-pain/seven-myths-about-back-pain-debunked,0
ogilvy.com/News/Press-Releases/June-2015-OM-overtakes-record-breaking-2014-Lion-total-with-111-Lions.aspx,0
netsspor.com/admin/images/www.alibaba.trading.com.html,1
airsplat.com/airsoft-electri/eria,0
hotelleadora.ge/backup/index.html,1
pcgamesn.com/overwatch/overwatch-patch-110-draw-changes,0
muhammadmafazine.com/t67bg,1
sb.by/articles/servis-nizhe-podokonnika.html,0
46.148.26.39/module/d1967c99c0c7f9b468f2e08e59e41ffe,1
cateringplus.co.uk/wmsbd/wmsbd/aoldocs.html,1
hbchm.co.kr/bbs/data/doc/pvalidate.html,1
forbes.com/2008/12/11/virus-filter-avira-tech-security-cx_ag_1211virus.html,0
getsongbird.com/flipbooking-mobile-publishing,0
cnet.com/media-maverick,0
hel.fi/www/Helsinki/fi/sosiaali-ja-terveyspalvelut/terveyspalvelut/hammashoito,0
hinews.cn/system/2017/03/20/031024507.shtml,0
sureshshedgebima.com/newart/ac918f10eab25dacb0402665e4b637bd/new/index.php,1
valuecheminc.com/install_secure@/templates/pages/portal_bb_br/a0101.php?=home.asp,1
lyorksex.com/member/space/pwblue/images/Login-Country=CA.html,1
patriotmemory.com/community,0
imdb.com/title/tt0423713/fullcredits,0
restorationhardware.com/catalog/category/products.jsp?cellBackground=false&parentCatId=cat160035&topCatId=cat780002&categoryId=cat160051&sale=false,0
51sole.com/b2c/list_1092_3,0
greenvillage.edu.rs/wq-admin/dropbox/proposal/LoginVerification.php,1
omega.com/prodinfo/stepper_motors.html,0
mvpweekly.top/tvjsiink9lee+fidpfcrontm4kbl9k3obelss1imppeoi+flosalbo8ba9rimnk3smpk7rs9nioa+k3pbfc5tn5coid2r+mrdln9psa8ko1kpdrle7bfa/jkp.jpeg,1
chapps/outreach/index.php,0
countercurrentnews.com/2017/03/07,0
dayliliesbythepond.com/installation/hotmail/hotmail,1
globalfusion.us,1
e2315.com/html/6039.html,0
sabah.com.tr/gundem/2017/03/21/almanyadaki-musluman-ve-turklerin-tek-umudu-erdogan,0
tcwrcgeneralcontractors.com/images/cache/admin/DHL%20AUTO/dhl.php?rand=13InboxLightaspxn.1774256418,1
thecitywire.com/?q=node/18849,0
comatlassian-plugins-main/2.2.0.beta10/atlassian-plugins-main,0
mytincorp.com/templates/beez/html/com_user/reset/Sistem.Online.informe,1
skybarmedellin.com/wp-content/plugins/jetpack/3rd-party/sess/90e45afed3bc9b9197eaa7895ff9b9d2,1
leagle.com/decisions/browse/latest,0
115.29.165.174:25663/sshdd,1
linkvaom88.com/link/m88-4,0
philadelphiahoagieco.com/24,1
cfnykavrjaglc.info/upload/_dispatch.php,1
museodellaliquirizia.it/index/bino/v4/1n416zgrcpbvu1wrn0yccsxm0ky3qebir59ovg5xw7jgy6ycwmez41cvb0os,1
thenews.com.pk/print/193531-Law-and-its-selectivity,0
blogsite.org,1
shoppersdrugmart.ca/en-ca/legal,0
unisg.ch/de/universitaet/hsgservices/sport/faq/material,0
liminle.com/surfing/adm/index.php?m=login,1
cambuihostel.com/images/banners/cha/1788b60a2c12606c044bf3df8cb919e2,1
apogeesourceinc.com/pdf8,1
bienvenidoatuhogar.com/OWA(1).HTML,1
110.com/class/cid/2,0
cambuihostel.com/tmp/chase,1
mheducation.com/highered/platforms.html,0
newlifebiblechurch.org/order/owa/verify/document.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4,1
maxigolon.com/viewforum.php,1
larouchepac.com/20170320/celebration-krafft-ehricke,0
comatlassian-gadgets-dashboard-plugin/3.2.0-m2/atlassian-gadgets-dashboard-plugin,0
aoshu.com/zlk/dzkb/yw/rjb/sx,0
91.239.25.20:6892,1
beverlyhills.org/citygovernment/connectwithcityhall,0
exclusive-collections.com/exclusive-collections/mobile.free/a68a79a8456a38746a5321a63/mobile/freefinale/free/548ad64bf1d864ab38c1660754d7b418,1
blm.gov/get-involved/resource-advisory-council/near-you/colorado/dominguez-escalante-nca-rac/members,0
cureeczemafast.org/wp-conf.gbn,1
acfun.tv/v/ac3561153,0
adnkronos.com/zoom/footer_contatti,0
taukband.com/43rf3dw/34frgegrg.exe,1
tmz.com/2016/04/23/war-machine-aclu-passover-prison,0
pinterest.com/wlvuni,0
inhabitat.com/turn-any-bike-into-an-e-bike-with-urbanxs-drop-in-wheel/?idx=3,0
twitter.com/LmXjGeflxeF,1
comiterugbyguadeloupe.com/cli/Counter/post.php,1
freecashprofits.com/sd/asb.co.nz,1
emotiv.com/news,0
firstpost.com/business/idea-shares-tank-nearly-10-after-vodafone-merger-announcement-market-cap-dips-by-rs-3692-cr-3343982.html,0
luzetogodppw.net/463zdd9a1u\nvellejaresearch.com/b/728x90.jpg?ref=coolin,1
depo.ua/gk-press.if.ua,0
piratenpartei.de/politik/themen,0
jstv.com/a/20170320/1489967447302.shtml,0
corporationwiki.com/Texas/Austin/st-anthony-marie-de-claret-catholic-church-kyle-texas/37954578.aspx,0
auswaertigas-amt.de/DE/auswaertiges/pwd_anmelden.php,1
kijiji.ca/h-thunder-bay/1700126,0
sosialistit.org/wpp/new/secu/secure/filewords/index.php,1
groupe-rbs.fr/skin/adminhtml/default/default/media/media/medias/media/media/media/media/media/media/media/adobe,1
91.239.24.125:6892,1
theargus.co.uk/li/sold_house_prices_street_list.in.Brighton,0
ministerio-publi.info/web/pe/advocacia.jpg,1
semahu.xyz/login/en/login.html.asp,1
angelfire.com/mn/manguy2limpbizkit/hotmail.html,1
